Plain Weave,Caustic (ml/kg),Peroxide (ml/kg),Stabilizer (ml/kg),Sequestering agent (ml/kg),Wetting agent (ml/kg),Roller Pressure (RP) (bar),Velocity (V) (m/dk),Berger
1,70,30,9.5,4.0,1.0,1,3.0,59.21
1,70,30,9.5,4.0,1.0,2,3.0,53.32
1,70,30,9.5,4.0,1.0,3,3.0,51.77
1,70,30,9.5,4.0,1.0,1,5.0,54.18
1,70,30,9.5,4.0,1.0,2,5.0,48.98
1,70,30,9.5,4.0,1.0,3,5.0,47.87
1,70,30,9.5,4.0,1.0,1,7.0,50.95
1,70,30,9.5,4.0,1.0,2,7.0,47.8
1,70,30,9.5,4.0,1.0,3,7.0,49.95
1,40,45,9.5,4.0,1.0,1,3.0,56.7
1,40,45,9.5,4.0,1.0,2,3.0,53.42
1,40,45,9.5,4.0,1.0,3,3.0,56.27
1,40,45,9.5,4.0,1.0,1,5.0,55.9
1,40,45,9.5,4.0,1.0,2,5.0,53.3
1,40,45,9.5,4.0,1.0,3,5.0,54.35
1,40,45,9.5,4.0,1.0,1,7.0,53.85
1,40,45,9.5,4.0,1.0,2,7.0,52.02
1,40,45,9.5,4.0,1.0,3,7.0,52.32
1,70,45,9.5,4.0,1.0,1,3.0,61.08
1,70,45,9.5,4.0,1.0,2,3.0,58.36
1,70,45,9.5,4.0,1.0,3,3.0,55.2
1,70,45,9.5,4.0,1.0,1,5.0,60.46
1,70,45,9.5,4.0,1.0,2,5.0,53.83
1,70,45,9.5,4.0,1.0,3,5.0,53.6
1,70,45,9.5,4.0,1.0,1,7.0,55.52
1,70,45,9.5,4.0,1.0,2,7.0,52.38
1,70,45,9.5,4.0,1.0,3,7.0,53.58
0,40,30,9.5,4.0,1.0,1,3.0,62.9
0,40,30,9.5,4.0,1.0,2,3.0,59.25
0,40,30,9.5,4.0,1.0,3,3.0,57.12
0,40,30,9.5,4.0,1.0,1,5.0,60.91
0,40,30,9.5,4.0,1.0,2,5.0,59.84
0,40,30,9.5,4.0,1.0,3,5.0,56.06
0,40,30,9.5,4.0,1.0,1,7.0,61.91
0,40,30,9.5,4.0,1.0,2,7.0,59.3
0,40,30,9.5,4.0,1.0,3,7.0,55.03
0,70,30,9.5,4.0,1.0,1,3.0,61.86
0,70,30,9.5,4.0,1.0,2,3.0,58.47
0,70,30,9.5,4.0,1.0,3,3.0,58.6
0,70,30,9.5,4.0,1.0,1,5.0,60.39
0,70,30,9.5,4.0,1.0,2,5.0,56.43
0,70,30,9.5,4.0,1.0,3,5.0,53.81
0,70,30,9.5,4.0,1.0,1,7.0,54.37
0,70,30,9.5,4.0,1.0,2,7.0,54.08
0,70,30,9.5,4.0,1.0,3,7.0,53.17
0,40,45,9.5,4.0,1.0,1,3.0,61.68
0,40,45,9.5,4.0,1.0,2,3.0,62.17
0,40,45,9.5,4.0,1.0,3,3.0,61.4
0,40,45,9.5,4.0,1.0,1,5.0,62.92
0,40,45,9.5,4.0,1.0,2,5.0,54.72
0,40,45,9.5,4.0,1.0,3,5.0,55.06
0,40,45,9.5,4.0,1.0,1,7.0,57.92
0,40,45,9.5,4.0,1.0,2,7.0,54.92
0,40,45,9.5,4.0,1.0,3,7.0,53.49
0,70,45,9.5,4.0,1.0,1,3.0,64.9
0,70,45,9.5,4.0,1.0,2,3.0,62.39
0,70,45,9.5,4.0,1.0,3,3.0,60.47
0,70,45,9.5,4.0,1.0,1,5.0,60.39
0,70,45,9.5,4.0,1.0,2,5.0,60.29
0,70,45,9.5,4.0,1.0,3,5.0,58.46
0,70,45,9.5,4.0,1.0,1,7.0,56.98
0,70,45,9.5,4.0,1.0,2,7.0,56.74
0,70,45,9.5,4.0,1.0,3,7.0,56.93

